City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rocha,UY,53.92,moderate rain,-34.4833,-54.3333,Beleza Pura B&B
5,Mataura,NZ,53.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
6,Thompson,CA,62.38,scattered clouds,55.7435,-97.8558,Burntwood Hotel
9,Cidreira,BR,62.91,overcast clouds,-30.1811,-50.2056,Hotel Castelo
11,Dunedin,NZ,53.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
12,Oktyabrskiy,RU,45.55,overcast clouds,54.4815,53.471,Уязы-Тау гостиница
15,Kuryk,KZ,55.65,broken clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
17,Tocopilla,CL,63.14,few clouds,-22.092,-70.1979,Hotel Galvarino
19,Flin Flon,CA,62.53,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
20,Parana,AR,64.56,broken clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
24,Kerman,IR,57.06,clear sky,30.2832,57.0788,هتل آپارتمان آسام
25,Vardo,NO,49.12,overcast clouds,70.3705,31.1107,Vardø Hotel AS
37,Hobart,AU,57.11,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
38,Geraldton,AU,55.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
43,Nemuro,JP,57.58,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
44,Halifax,CA,57.25,broken clouds,44.6453,-63.5724,Hotel Halifax
46,Chuy,UY,54.66,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
47,De-Kastri,RU,46.36,clear sky,51.4667,140.7833,Somon Hotel
48,Busselton,AU,48.09,overcast clouds,-33.65,115.3333,Observatory Guest House
51,Cape Town,ZA,54.09,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
53,Shirvan,AZ,61.21,overcast clouds,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
55,Port Alfred,ZA,54.1,light rain,-33.5906,26.891,The Halyards Hotel
59,Rawson,AR,47.28,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
67,Port Elizabeth,ZA,51.1,light rain,-33.918,25.5701,39 On Nile Guest House
71,Bredasdorp,ZA,46.27,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
72,Moron,AR,63.01,light rain,-34.6534,-58.6198,Hotel Morón
76,Kinlochleven,GB,47.75,scattered clouds,56.7115,-4.9661,The Tailrace Inn
80,Rio Cuarto,AR,56.97,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
87,Viedma,AR,46.44,overcast clouds,-40.8135,-62.9967,Hotel Cristal
89,Gazanjyk,TM,55.58,clear sky,39.2446,55.5154,Railway motel
91,Berlevag,NO,49.8,overcast clouds,70.8578,29.0864,Kvitbrakka
92,Havre-Saint-Pierre,CA,46.76,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
102,Zola Predosa,IT,64.35,clear sky,44.4897,11.2183,SHG Hotel Bologna
103,Hermanus,ZA,51.91,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
108,Mar Del Plata,AR,55.13,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
110,Dali,CN,58.5,clear sky,25.7,100.1833,Dali Travelling With Hostel
112,Yellowknife,CA,47.41,light rain,62.456,-114.3525,The Explorer Hotel
113,Sitka,US,48.09,light rain,57.0531,-135.33,Westmark Sitka
115,Huarmey,PE,64.26,few clouds,-10.0681,-78.1522,Hotel Miramar
117,Bluff,NZ,53.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
127,Castro,BR,61.07,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
128,Hami,CN,49.89,overcast clouds,42.8,93.45,Laoyutang Resort
130,Veliki Trnovac,RS,50.65,clear sky,42.4767,21.7405,Privatni smeštaj Andrejević
136,Stromness,GB,52.05,light rain,58.965,-3.296,The Old Smokery
158,Haines Junction,CA,48.15,overcast clouds,60.7522,-137.5108,Parkside Inn
161,Xinzhou,CN,63.03,overcast clouds,38.4092,112.7333,Shell Hotel - Xinzhou
163,San Juan,AR,62.73,clear sky,-31.5375,-68.5364,Hotel Provincial
164,Wanaka,NZ,52.36,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
165,Kaitangata,NZ,49.62,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
177,Taltal,CL,59.88,few clouds,-25.4,-70.4833,Residencial Karime
178,Torbay,CA,56.26,scattered clouds,47.6666,-52.7314,Gallows Cove
180,Constitucion,CL,52.97,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
182,Port Lincoln,AU,56.03,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
184,Esperance,AU,51.64,broken clouds,-33.8667,121.9,Hospitality Esperance
186,Lebu,CL,49.03,clear sky,-37.6167,-73.65,Hostal Las Lilas
187,Pestravka,RU,51.06,overcast clouds,52.405,49.9583,"Gostinitsa ""Germes"""
189,Coquimbo,CL,56.93,clear sky,-29.9533,-71.3436,Punto de encuentro
190,Mildura,AU,61.07,broken clouds,-34.2,142.15,Mercure Hotel Mildura
191,Kruisfontein,ZA,48.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
192,Korla,CN,49.26,overcast clouds,41.7597,86.1469,Gulisitan Hotel
196,Hualmay,PE,63.25,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
199,Port-Cartier,CA,45.75,overcast clouds,50.0334,-66.8654,Le Q'Artier
201,Afsin,TR,57.92,few clouds,38.2477,36.914,Afsin Ogretmenevi ASO
204,Madawaska,US,51.85,overcast clouds,47.3561,-68.3288,Best Western Plus Edmundston Hotel
205,Artyom,AZ,60.94,overcast clouds,40.4723,50.333,Merdan Respect
213,Birjand,IR,54.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
215,Nikolskoye,RU,45.81,broken clouds,59.7035,30.7861,Tourist House - Sablino
216,New Norfolk,AU,56.75,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
220,La Ronge,CA,59.25,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
228,Carnarvon,AU,59.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
229,Prince Rupert,CA,50.09,light rain,54.3161,-130.3201,Crest Hotel
234,Namibe,AO,59.79,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
244,East London,ZA,54.61,scattered clouds,-33.0153,27.9116,Tu Casa
250,Caraquet,CA,52.38,overcast clouds,47.7941,-64.9386,Gite Le Poirier
251,Gloucester,GB,53.65,overcast clouds,51.8657,-2.2431,Edward Hotel
254,Raglan,NZ,63.07,overcast clouds,-37.8,174.8833,Raglan Sunset Motel
259,Marulanda,CO,51.84,overcast clouds,5.2839,-75.2602,La casa de las Tías
260,Comodoro Rivadavia,AR,49.86,few clouds,-45.8667,-67.5,Austral Hotel
262,General Roca,AR,57.6,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
263,Endwell,US,64.85,clear sky,42.1129,-76.021,"Holiday Inn Express & Suites Binghamton University-Vestal, an IHG Hotel"
265,Balkanabat,TM,61.56,clear sky,39.5108,54.3671,Nebitchi Hotel
267,Gimbi,ET,55.13,light rain,9.1667,35.8333,Sam home
268,Vredendal,ZA,48.15,clear sky,-31.6683,18.5012,Tharrakamma Guest House
269,Hokitika,NZ,54.73,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
274,Sorland,NO,52.39,light rain,67.667,12.6934,Sjybrygga fiskecamp
281,Whyalla,AU,58.89,overcast clouds,-33.0333,137.5833,Foreshore Motor Inn
285,Carahue,CL,48.4,broken clouds,-38.7,-73.1667,Hospedaje Familiar
291,Havoysund,NO,52.68,broken clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
297,Chapleau,CA,57.29,overcast clouds,47.8405,-83.4034,Ride the North
300,Zapolyarnyy,RU,49.28,overcast clouds,69.4154,30.8136,Pechenga
304,Severo-Kurilsk,RU,47.5,heavy intensity rain,50.6789,156.125,Kak Doma
318,Ulma,DE,59.56,overcast clouds,48.3984,9.9916,Comfor Hotel & Appartement Ulm
320,Debre Tabor,ET,51.67,overcast clouds,11.85,38.0167,Tigesh
324,Hay River,CA,51.78,light rain,60.8156,-115.7999,Ptarmigan Inn
328,Chicama,PE,59.54,few clouds,-7.8447,-79.1469,Balihai Bungalows
329,Port Hardy,CA,50.25,light rain,50.6996,-127.4199,Airport Inn
333,Waipawa,NZ,56.03,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
339,Zhaotong,CN,57.36,clear sky,27.3167,103.7167,Jingguan Home
344,Shetpe,KZ,48.78,scattered clouds,44.1667,52.1167,Rtsm Shetpe Analog
373,Dongsheng,CN,57.65,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
393,Klaksvik,FO,47.32,overcast clouds,62.2266,-6.589,Airbnb rooms
395,Salamanca,ES,60.58,overcast clouds,40.8333,-6.0,Palacio Carrascalino
396,Sakata,JP,64.58,scattered clouds,38.9167,139.855,Hotel Rich & Garden Sakata
402,Necochea,AR,49.03,light rain,-38.5473,-58.7368,dyd -mar Hotel
407,Ahipara,NZ,63.81,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
409,Tuatapere,NZ,53.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
411,Ilave,PE,53.85,few clouds,-16.0833,-69.6667,Hostal Magestad
412,Timmins,CA,53.42,light intensity drizzle,48.4669,-81.3331,The Senator Hotel & Conference Centre
414,Sicuani,PE,58.5,broken clouds,-14.2694,-71.2261,Wilkamayu Hotel
423,Launceston,AU,63.16,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
424,Donji Vakuf,BA,58.68,overcast clouds,44.1436,17.4,Motel Otoka
426,Leningradskaya,RU,52.59,few clouds,46.3214,39.3877,Inn Staraya Melnica
436,Barry,GB,52.25,scattered clouds,51.4067,-3.2694,Aberthaw House Hotel
441,Mogadouro,PT,59.79,overcast clouds,41.3403,-6.7119,Pensão Russo
446,Harnosand,SE,51.82,moderate rain,62.6323,17.9379,First Hotel Stadt
448,Codrington,AU,59.94,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
451,Jumla,NP,53.71,broken clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
454,Ciechocinek,PL,53.85,broken clouds,52.8791,18.7951,Pałac Łazienki II w Ciechocinku
456,Karasjok,NO,51.91,overcast clouds,69.4719,25.5112,Karasjok camping AS
458,Chardara,KZ,46.11,clear sky,41.2547,67.9692,Жанаргул
459,Kavarna,BG,49.28,broken clouds,43.4333,28.3333,Вила Алегра (Villa Allegra)
460,Sauda,NO,50.7,light rain,59.6506,6.3542,Klover Hotel
472,Pietersburg,ZA,61.65,light rain,-23.9045,29.4688,Bed and Breakfast @ Reggies B&B
476,Pisco,PE,64.45,haze,-13.7,-76.2167,Hotel San Isidro Oficial
478,Killybegs,IE,46.45,light rain,54.6333,-8.45,Tara Hotel
487,Haicheng,CN,64.4,light rain,40.8516,122.7475,Haicheng Grand Hotel
490,Maldonado,UY,62.22,broken clouds,-34.6667,-54.9167,La Cimarrona
500,Moose Factory,CA,51.78,clear sky,51.2585,-80.6094,Moosonee Lilypad
503,Marienburg,PL,54.88,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
512,Rumoi,JP,61.2,scattered clouds,43.9344,141.6428,Business Hotel R-Inn
514,Murzzuschlag,AT,49.24,scattered clouds,47.6,15.6833,Millenium Inn Apartments
515,Saint-Denis,FR,63.37,overcast clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
519,Lasa,IT,57.02,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
522,Antofagasta,CL,58.28,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
524,Albert,FR,62.37,moderate rain,50.0009,2.651,Hotel de la Basilique
533,Santa Maria,BR,64.58,clear sky,-29.6842,-53.8069,Hotel Morotin
534,Bereda,ES,64.42,moderate rain,43.2686,-7.5406,Pazo de Verdes
535,Siklos,HU,52.02,clear sky,45.855,18.2975,Baranya Hotel Üdülőház
536,Tihemetsa,EE,47.14,broken clouds,58.1462,25.0459,Peebu parvsaun
539,Zonguldak,TR,51.35,overcast clouds,41.25,31.8333,Süleyman Tez Ev
541,Saint-Honore,CA,50.25,overcast clouds,48.5334,-71.0824,Camping Plage Margot
543,Port Augusta,AU,62.71,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
545,Lozuvatka,UA,45.01,clear sky,48.0571,33.2858,Richka
546,Trelew,AR,47.43,scattered clouds,-43.249,-65.3051,Hotel Touring Club
554,Rio Gallegos,AR,48.25,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
555,Campbeltown,GB,50.05,scattered clouds,55.4258,-5.6076,The Royal Hotel
557,Iwanai,JP,59.86,scattered clouds,42.9744,140.5089,いわない高原ホテル
562,San Vicente,AR,64.33,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
563,Mandurah,AU,60.22,broken clouds,-32.55,115.7,Atrium Hotel Mandurah
571,Knyaze-Volkonskoye,RU,50.34,scattered clouds,48.4642,135.4567,Obshchezhitiye
586,Northam,GB,53.26,overcast clouds,51.0333,-4.2167,Durrant House Hotel
593,Chapais,CA,47.52,broken clouds,49.7834,-74.8492,Hôtel Opémiska
608,Sept-Iles,CA,45.12,broken clouds,50.2001,-66.3821,Comfort Inn
609,Qaqortoq,GL,57.7,clear sky,60.7167,-46.0333,Hotel Qaqortoq
619,Preobrazheniye,RU,58.39,clear sky,42.9019,133.9064,Campsite Orlan
621,Malkara,TR,49.62,clear sky,40.89,26.9011,Ütğm Korel Lojmanı
623,Knokke-Heist,BE,63.05,light rain,51.3333,3.3333,Hotel La Réserve
625,Komsomolskiy,UZ,54.32,overcast clouds,40.4272,71.7189,Ikathouse
632,Bayan,CN,48.27,light rain,46.0833,127.4,Wanhao Inn
633,Ancud,CL,47.73,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
635,Rio Grande,BR,59.95,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
636,Kristiinankaupunki,FI,48.61,clear sky,62.2743,21.376,Hotel Alma
639,Erenhot,CN,47.53,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
650,Hanko,FI,50.85,few clouds,59.8333,22.95,Villa Maija
651,Bone,DE,60.71,overcast clouds,51.9669,12.1396,Sporthotel Wallwitz
652,Oxford,GB,54.19,scattered clouds,51.7522,-1.256,Malmaison Oxford
655,Stornoway,GB,54.93,scattered clouds,58.2093,-6.3865,Caladh Inn
656,Kalevala,RU,47.84,overcast clouds,65.2,31.1667,Hotel on Sadovaya 2
660,Mount Gambier,AU,55.31,light rain,-37.8333,140.7667,The Commodore
662,Butembo,CD,58.55,light rain,0.15,29.2833,Hotel Butembo
664,Kiruna,SE,45.52,overcast clouds,67.8557,20.2251,Camp Ripan
665,Sabzevar,IR,57.4,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
668,Batemans Bay,AU,64.2,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
669,Skelleftea,SE,50.36,overcast clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
671,Plettenberg Bay,ZA,50.81,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
672,Mehamn,NO,50.49,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
673,Sistranda,NO,54.9,broken clouds,63.7256,8.834,Hotell Frøya
674,Khor,RU,45.43,scattered clouds,47.8861,134.9464,Gostinitsa Deksi
675,Makat,KZ,47.34,clear sky,47.6469,53.3463,Umit
679,Okha,RU,48.33,scattered clouds,53.5739,142.9478,Империя
684,Danszentmiklos,HU,53.58,broken clouds,47.2149,19.5469,Botanica Vendégház
689,Mwinilunga,ZM,64.27,light rain,-11.7358,24.4293,Kwakuwahi Lodge
695,Aliwal North,ZA,46.36,clear sky,-30.6937,26.7114,Queens Terrace B&B
705,Ulefoss,NO,55.18,light rain,59.2838,9.2646,Ulefoss Brygge - Bobilparkering
